datetime,price,consumption,dailyTempAvg(Celsius),dailyTempMax(Celsius),dailyTempMin(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium,january,february,march,april,may,june,july,august,september,october,november,december
2017-09-16 04:00:00,29.57,482.0,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,30.82,11660.7,103,17,0,4009.0,4.69,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-16 18:30:00,45.5,678.3,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,44.64,13835.5,103,17,0,4009.0,-0.119999999999997,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-17 10:30:00,29.95,477.6,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,32.16,11483.4,104,16,0,4009.0,-16.21,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-18 00:45:00,24.81,580.0,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,38.05,11679.2,105,15,0,4009.0,8.44,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-18 09:30:00,48.9,365.9,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,53.47,13424.9,105,15,0,4009.0,4.38,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-18 12:15:00,43.4,327.8,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,51.01,15390.2,105,15,0,4009.0,6.76,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-19 09:45:00,46.49,1024.0,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,51.1,13011.9,106,14,0,4009.0,4.74,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-20 07:00:00,45.04,1086.8,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,51.55,11471.1,107,13,0,4009.0,6.33,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-20 18:30:00,49.57,664.7,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,48.93,12137.8,107,13,0,4009.0,-2.66,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-20 20:45:00,41.25,823.2,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,51.03,11864.4,107,13,0,4009.0,11.81,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-21 07:15:00,48.47,585.4,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,47.97,13643.8,108,12,0,4009.0,-2.15,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-21 09:15:00,49.28,602.5,13.256463356974,17.237796587869,9.32819582528389,0.13193233755830902,0.070921985815603,62.2139753677728,14.520355798836801,3.97238009152025,11.6487356321839,47.03,14790.0,108,12,0,4009.0,-3.57,0,0,0,0,0,0,0,0,1,0,0,0
