price,consumption,dailyTempAvg(Celsius),numberFreezingDays,numberIcyDays,monthlyRainVolume(mm),numberRainyDays,dailySunnyHoursAvg,monthlyWindSpeedAvg(km/h),price_dayahead,consumption_dayahead,holidayBefore,holidayAfter,isHoliday,participants,price_premium,price_dayahead_lastDay,consumption_dayahead_lastDay,price_intraday_lastDay,consumption_intraday_lastDay,price_dayahead_increase_lastWeek,consumption_dayahead_increase_lastWeek,price_intraday_increase_lastWeek,consumption_intraday_increase_lastWeek,cat_price_premium,january,february,march,april,may,june,july,august,september,october,november,december,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23
9.37,725.9,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,20.72,11431.2,29,55,0,1285.0,11.35,35.4,14131.3,13.72,753.5,-0.8700000000000004,-417.5428571428569,-0.5128571428571426,-1.6857142857142793,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.09,765.0,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,22.06,18193.3,30,54,0,1285.0,22.15,29.4,18044.6,20.31,700.4,-1.0814285714285714,66.92857142857143,-1.1028571428571432,4.1285714285714255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.02,230.0,1.28686790505676,12.404420098224401,6.72478070175439,58.7143042416845,16.4549130302106,1.44988964212518,16.3394097397995,16.45,14441.6,30,54,0,1285.0,4.43,33.57,13441.7,11.21,399.7,0.044285714285714615,101.55714285714306,-2.6657142857142864,-5.357142857142857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42.55,691.9,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,37.99,17751.7,31,53,0,1526.0,-4.56,15.52,12050.6,2.39,706.3,-3.89,-492.1428571428572,-4.071428571428571,39.128571428571426,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.03,325.6,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,35.0,15967.7,34,50,0,1526.0,4.97,29.48,15015.8,23.54,328.8,-0.24285714285714274,-478.9857142857145,-0.7628571428571428,7.200000000000005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.05,860.8,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,25.95,12329.7,35,49,0,1526.0,15.9,25.42,11157.2,9.92,755.4,-0.3771428571428567,-85.88571428571412,-0.8385714285714284,8.885714285714275,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.06,1007.5,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,15.43,16022.0,36,48,0,1526.0,15.49,27.94,15551.2,23.13,615.9,0.018571428571428936,-273.25714285714275,1.1214285714285714,-14.100000000000007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27.05,685.9,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,19.98,14695.2,38,46,0,1526.0,-7.07,14.07,12244.1,31.93,629.2,-0.6414285714285712,-672.9285714285712,1.9742857142857144,16.557142857142868,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24.45,370.8,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,14.0,13909.8,40,44,0,1526.0,-10.45,6.04,15740.7,-4.95,314.4,-0.6042857142857142,528.0428571428573,-3.6042857142857145,-8.728571428571431,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.13,658.8,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,32.05,13513.5,40,44,0,1526.0,5.92,30.1,13807.3,19.61,660.0,-0.6999999999999998,-150.30000000000004,-1.53,7.6285714285714255,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.73,309.3,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,28.68,12793.9,40,44,0,1526.0,-1.05,20.78,16546.4,13.98,322.8,-0.6371428571428568,302.74285714285725,-1.4342857142857142,-9.985714285714282,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38.36,550.6,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,33.48,15782.6,42,42,0,1526.0,-4.88,37.0,12349.5,35.42,514.1,0.15142857142857175,-430.69999999999993,-0.17857142857142858,17.671428571428578,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29.88,258.9,3.50265785834998,11.315639901738804,1.37163926870487,59.8420117983337,16.3215958158487,2.08862000928505,17.5005984157052,25.62,15779.1,42,42,0,1526.0,-4.26,27.44,13318.3,35.2,242.2,0.2271428571428571,-363.0,1.2142857142857149,-8.471428571428572,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
