ratio,loss,penalty,n_splits,tol,score
0.975,hinge,none,50,0.007,0.5984175824175825
0.975,hinge,none,50,0.01,0.6007912087912087
0.975,hinge,none,100,0.001,0.5915604395604396
0.975,hinge,none,100,0.003,0.5861978021978022
0.975,hinge,none,100,0.005,0.5903296703296703
0.975,hinge,none,100,0.007,0.6072527472527472
0.975,hinge,none,100,0.01,0.6078681318681318
0.975,hinge,none,150,0.001,0.5992087912087912
0.975,hinge,none,150,0.003,0.6018021978021977
0.975,hinge,none,150,0.005,0.6104175824175824
0.975,hinge,none,150,0.007,0.5978901098901099
0.975,hinge,none,150,0.01,0.6021098901098901
0.975,hinge,l1,50,0.001,0.6032527472527471
0.975,hinge,l1,50,0.003,0.6081318681318681
0.975,hinge,l1,50,0.005,0.5964395604395605
0.975,hinge,l1,50,0.007,0.5962637362637362
0.975,hinge,l1,50,0.01,0.6042197802197802
0.975,hinge,l1,100,0.001,0.5916923076923076
0.975,hinge,l1,100,0.003,0.6123076923076923
0.975,hinge,l1,100,0.005,0.6042197802197802
0.975,hinge,l1,100,0.007,0.6068131868131867
0.975,hinge,l1,100,0.01,0.6109890109890109
0.975,hinge,l1,150,0.001,0.602021978021978
0.975,hinge,l1,150,0.003,0.6038681318681319
0.975,hinge,l1,150,0.005,0.6008351648351649
0.975,hinge,l1,150,0.007,0.5993846153846154
0.975,hinge,l1,150,0.01,0.5991208791208791
0.975,log,l2,50,0.001,0.6013186813186813
0.975,log,l2,50,0.003,0.5883956043956043
0.975,log,l2,50,0.005,0.5792527472527473
0.975,log,l2,50,0.007,0.5945054945054945
0.975,log,l2,50,0.01,0.6006153846153847
0.975,log,l2,100,0.001,0.6030769230769231
0.975,log,l2,100,0.003,0.5985054945054944
0.975,log,l2,100,0.005,0.5698021978021979
0.975,log,l2,100,0.007,0.5904175824175824
0.975,log,l2,100,0.01,0.5913846153846154
0.975,log,l2,150,0.001,0.5865934065934066
0.975,log,l2,150,0.003,0.5954285714285714
0.975,log,l2,150,0.005,0.5866373626373627
0.975,log,l2,150,0.007,0.5873846153846155
0.975,log,l2,150,0.01,0.5787692307692309
0.975,log,elasticnet,50,0.001,0.5944615384615384
0.975,log,elasticnet,50,0.003,0.5849230769230769
0.975,log,elasticnet,50,0.005,0.5897582417582419
0.975,log,elasticnet,50,0.007,0.5823296703296703
0.975,log,elasticnet,50,0.01,0.5783296703296704
0.975,log,elasticnet,100,0.001,0.5949010989010989
0.975,log,elasticnet,100,0.003,0.5989010989010989
